,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2003,大阪近鉄,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,13.0,3,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1,2004,大阪近鉄,11.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,75.0,16.2,17.0,0.0,10.0,0.0,13.0,2.0,0.0,2.0,2.0,1.08
2,2005,オリックス,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.2,9.0,3.0,3.0,1.0,8.0,0.0,0.0,4.0,4.0,4.15
3,2007,オリックス,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.2,13.0,0.0,2.0,2.0,7.0,1.0,0.0,7.0,7.0,8.22
4,2008,オリックス,25.0,10.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.588,616.0,149,140.0,9.0,45.0,4.0,89.0,4.0,0.0,62.0,57.0,3.44
5,2009,オリックス,24.0,9.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.429,678.0,152.2,155.0,20.0,80.0,3.0,91.0,6.0,0.0,87.0,81.0,4.78
6,2010,オリックス,24.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33299999999999996,620.0,142.2,151.0,16.0,49.0,7.0,133.0,4.0,1.0,79.0,69.0,4.35
7,2011,オリックス,15.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,289.0,63.2,76.0,6.0,27.0,4.0,53.0,3.0,0.0,48.0,45.0,6.36
8,2012,オリックス,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6,8.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,3.0,4.5
9,2013,オリックス,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8,13.0,2.0,1.0,0.0,6.0,2.0,0.0,8.0,8.0,9.0
10,2014,オリックス,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.2,10.0,1.0,2.0,0.0,7.0,0.0,0.0,4.0,4.0,4.7
11,2015,オリックス,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,190.0,41.2,49.0,1.0,14.0,3.0,24.0,5.0,0.0,31.0,28.0,6.05
12,2016,オリックス,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,94.0,19.2,30.0,3.0,6.0,0.0,16.0,1.0,0.0,19.0,18.0,8.24
13,2016,東京ヤクルト,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,11.1,14.0,0.0,6.0,2.0,10.0,0.0,0.0,5.0,4.0,3.18
14,2017,東京ヤクルト,54.0,2.0,4.0,1.0,14.0,16.0,0.0,0.0,0.0,0.33299999999999996,234.0,55.1,49.0,9.0,17.0,4.0,55.0,2.0,0.0,29.0,29.0,4.72
15,2018,東京ヤクルト,74.0,7.0,4.0,2.0,35.0,42.0,0.0,0.0,0.0,0.636,334.0,76.2,74.0,8.0,31.0,2.0,75.0,5.0,0.0,37.0,31.0,3.64
16,2019,東京ヤクルト,59.0,3.0,3.0,0.0,19.0,22.0,0.0,0.0,0.0,0.5,245.0,53,57.0,6.0,32.0,0.0,54.0,3.0,0.0,23.0,21.0,3.57
17,2020,東京ヤクルト,20.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,81.0,19,21.0,4.0,6.0,0.0,11.0,0.0,0.0,13.0,10.0,4.74
18,nan,通　算,347.0,43.0,57.0,4.0,71.0,83.0,5.0,0.0,0.0,0.43,3696.0,842.1,889.0,88.0,333.0,32.0,657.0,40.0,1.0,462.0,421.0,4.5
