,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,東京ヤクルト,26,49,44,5,11,2,0,1,16,1,0,0,0,0,5,0,11,0,0.25,0.364,0.327
1,2013,東京ヤクルト,94,396,350,50,99,13,2,3,125,26,9,2,3,3,39,1,37,6,0.28300000000000003,0.35700000000000004,0.354
2,2014,東京ヤクルト,143,685,596,106,193,39,1,29,321,89,15,5,2,5,74,8,95,10,0.324,0.539,0.40299999999999997
3,2015,東京ヤクルト,143,646,557,119,183,39,2,38,340,100,34,4,0,3,81,5,111,11,0.32899999999999996,0.61,0.41600000000000004
4,2016,東京ヤクルト,133,590,481,102,146,26,3,38,292,102,30,2,0,4,97,8,101,16,0.304,0.607,0.425
5,2017,東京ヤクルト,143,624,526,79,130,25,1,24,229,78,14,4,0,1,91,6,132,15,0.247,0.435,0.364
6,2018,東京ヤクルト,140,637,524,130,165,30,4,34,305,89,33,4,0,3,106,4,119,8,0.315,0.5820000000000001,0.43200000000000005
7,2019,東京ヤクルト,142,641,520,102,141,35,5,35,291,98,33,3,0,5,110,6,121,14,0.271,0.56,0.401
8,2020,東京ヤクルト,94,384,334,52,85,17,1,12,140,52,8,4,0,2,48,0,83,6,0.254,0.419,0.34600000000000003
9,nan,通　算,1058,4652,3932,745,1153,226,19,214,2059,635,176,28,5,26,651,38,810,86,0.293,0.524,0.396
