,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,阪　神,28,16,15,11,5,1,0,0,6,2,2,1,0,0,1,0,1,1,0.33299999999999996,0.4,0.375
1,2011,阪　神,67,131,108,20,27,7,0,3,43,13,8,3,7,2,14,0,27,0,0.25,0.39799999999999996,0.331
2,2012,阪　神,62,224,197,22,50,13,1,1,68,7,13,4,2,1,19,5,46,3,0.254,0.345,0.33299999999999996
3,2013,阪　神,25,70,59,13,15,3,0,2,24,8,2,1,2,0,8,1,19,1,0.254,0.40700000000000003,0.353
4,2014,阪　神,131,600,515,90,142,28,5,7,201,38,20,10,7,2,70,6,97,7,0.276,0.39,0.368
5,2015,阪　神,108,452,375,44,95,18,1,4,127,31,19,11,29,0,44,4,69,1,0.253,0.33899999999999997,0.33799999999999997
6,2016,阪　神,45,113,101,18,26,7,0,2,39,8,3,0,0,0,12,0,14,0,0.257,0.386,0.336
7,2017,阪　神,125,488,409,57,116,20,1,9,165,38,16,1,23,2,50,4,71,7,0.284,0.40299999999999997,0.366
8,2018,阪　神,20,53,45,7,19,3,0,1,25,6,4,0,1,1,6,0,8,1,0.42200000000000004,0.556,0.48100000000000004
9,2019,阪　神,62,119,104,10,20,4,0,1,27,6,5,0,3,1,11,0,37,1,0.192,0.26,0.267
10,2020,阪　神,25,51,41,2,7,3,0,0,10,4,2,2,5,1,4,0,11,2,0.171,0.244,0.239
11,nan,通　算,698,2317,1969,294,522,107,8,30,735,161,94,33,79,10,239,20,400,24,0.265,0.373,0.349
