,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,阪　神,92,265,249,23,49,13,2,7,87,21,0,1,2,2,10,2,78,7,0.19699999999999998,0.349,0.23199999999999998
1,2015,阪　神,56,149,138,16,33,9,1,4,56,18,0,2,4,0,6,1,33,2,0.239,0.406,0.276
2,2016,阪　神,37,98,89,3,12,0,0,0,12,4,1,0,3,0,6,0,22,4,0.135,0.135,0.18899999999999997
3,2017,阪　神,112,340,282,22,58,9,2,2,77,33,1,0,27,3,24,4,63,3,0.20600000000000002,0.273,0.275
4,2018,阪　神,132,455,386,45,100,27,1,8,153,47,5,1,28,1,39,1,67,6,0.259,0.396,0.32799999999999996
5,2019,阪　神,129,492,433,49,115,22,3,9,170,59,14,3,16,3,34,6,83,16,0.266,0.39299999999999996,0.326
6,2020,阪　神,98,342,298,36,78,17,0,7,116,29,5,1,9,2,33,0,77,9,0.262,0.389,0.33299999999999996
7,2021,阪　神,130,458,404,33,91,15,3,3,121,33,8,4,6,2,41,5,107,14,0.225,0.3,0.303
8,2022,阪　神,100,331,294,26,67,2,1,4,83,25,2,1,6,1,30,0,77,16,0.228,0.282,0.298
9,nan,通　算,886,2930,2573,253,603,114,13,44,875,269,36,13,101,14,223,19,607,77,0.23399999999999999,0.34,0.299
