,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,阪　神,17.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,379.0,90,85.0,6.0,26.0,4.0,76.0,1.0,0.0,37.0,35.0,3.5
1,2015,阪　神,15.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,326.0,77,74.0,7.0,19.0,5.0,57.0,0.0,0.0,39.0,30.0,3.51
2,2016,阪　神,16.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,319.0,74.1,73.0,10.0,27.0,2.0,59.0,3.0,0.0,33.0,30.0,3.63
3,2017,阪　神,66.0,4.0,1.0,0.0,15.0,19.0,0.0,0.0,0.0,0.8,311.0,71.2,63.0,2.0,27.0,5.0,88.0,0.0,0.0,28.0,19.0,2.39
4,2018,阪　神,61.0,1.0,3.0,0.0,10.0,11.0,0.0,0.0,0.0,0.25,275.0,62,66.0,8.0,25.0,4.0,70.0,5.0,0.0,37.0,34.0,4.94
5,2019,阪　神,48.0,3.0,0.0,0.0,26.0,29.0,0.0,0.0,0.0,1.0,204.0,53.2,24.0,5.0,17.0,3.0,58.0,1.0,0.0,11.0,6.0,1.01
6,2020,阪　神,41.0,5.0,2.0,2.0,17.0,22.0,0.0,0.0,0.0,0.7140000000000001,163.0,39.2,26.0,2.0,15.0,2.0,37.0,3.0,0.0,9.0,8.0,1.82
7,2021,阪　神,62.0,3.0,4.0,1.0,41.0,44.0,0.0,0.0,0.0,0.429,230.0,57.2,47.0,6.0,15.0,0.0,51.0,3.0,0.0,21.0,17.0,2.65
8,2022,阪　神,57.0,1.0,6.0,28.0,11.0,12.0,0.0,0.0,0.0,0.14300000000000002,239.0,55,63.0,1.0,10.0,2.0,44.0,0.0,0.0,16.0,12.0,1.96
9,nan,通　算,383.0,28.0,35.0,31.0,120.0,137.0,0.0,0.0,0.0,0.444,2446.0,581,521.0,47.0,181.0,27.0,540.0,16.0,0.0,231.0,191.0,2.96
