,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2008,横　浜,30.0,3.0,6.0,0.0,1.0,3.0,1.0,1.0,0.0,0.33299999999999996,345.0,76,85.0,8.0,33.0,7.0,52.0,2.0,0.0,44.0,40.0,4.74
1,2009,横　浜,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,30.2,18.0,2.0,9.0,2.0,17.0,0.0,0.0,6.0,6.0,1.76
2,2010,横　浜,18.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.33299999999999996,118.0,25,25.0,4.0,16.0,4.0,19.0,0.0,0.0,17.0,17.0,6.12
3,2011,オリックス,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,18,16.0,3.0,8.0,3.0,18.0,1.0,0.0,7.0,7.0,3.5
4,2012,オリックス,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2013,オリックス,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.2,8.0,0.0,6.0,2.0,10.0,0.0,0.0,8.0,6.0,6.23
6,2014,オリックス,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.1,7.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,1.69
7,2015,阪　神,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.1,9.0,1.0,6.0,0.0,5.0,1.0,0.0,6.0,6.0,8.53
8,2017,阪　神,67.0,4.0,2.0,0.0,39.0,43.0,0.0,0.0,0.0,0.667,261.0,65.2,52.0,2.0,10.0,3.0,63.0,2.0,0.0,11.0,11.0,1.51
9,2018,阪　神,62.0,5.0,3.0,0.0,32.0,37.0,0.0,0.0,0.0,0.625,239.0,57,52.0,6.0,12.0,4.0,65.0,1.0,0.0,19.0,17.0,2.68
10,2019,阪　神,7.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,28.0,5,10.0,1.0,3.0,1.0,6.0,0.0,0.0,9.0,5.0,9.0
11,2020,阪　神,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,43.0,10.1,7.0,2.0,4.0,0.0,8.0,1.0,0.0,4.0,4.0,3.48
12,2021,阪　神,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7,8.0,2.0,4.0,1.0,7.0,1.0,0.0,7.0,7.0,9.0
13,nan,通　算,242.0,15.0,13.0,0.0,78.0,92.0,1.0,1.0,0.0,0.536,1372.0,317,297.0,31.0,115.0,28.0,277.0,9.0,0.0,139.0,127.0,3.61
