,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,阪　神,24.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,563.0,137.2,119.0,10.0,44.0,2.0,126.0,8.0,0.0,48.0,42.0,2.75
1,2014,阪　神,25.0,11.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.579,704.0,163,150.0,6.0,64.0,11.0,172.0,6.0,0.0,79.0,64.0,3.53
2,2015,阪　神,28.0,14.0,7.0,0.0,0.0,0.0,7.0,4.0,1.0,0.667,840.0,199,162.0,9.0,82.0,11.0,221.0,9.0,0.0,70.0,53.0,2.4
3,2016,阪　神,26.0,7.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.389,734.0,169,152.0,11.0,70.0,8.0,176.0,6.0,1.0,78.0,61.0,3.25
4,2017,阪　神,11.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,271.0,59,53.0,5.0,45.0,8.0,41.0,5.0,0.0,30.0,27.0,4.12
5,2018,阪　神,13.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.625,326.0,71,70.0,5.0,47.0,4.0,70.0,5.0,0.0,45.0,42.0,5.32
6,2019,阪　神,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.1,4.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,2.08
7,2020,阪　神,24.0,1.0,6.0,0.0,7.0,7.0,0.0,0.0,0.0,0.14300000000000002,341.0,76.1,71.0,5.0,40.0,2.0,85.0,4.0,0.0,47.0,34.0,4.01
8,2021,阪　神,21.0,3.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.5,238.0,48.1,47.0,4.0,40.0,4.0,52.0,8.0,1.0,29.0,28.0,5.21
9,2022,阪　神,16.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,276.0,66.2,58.0,6.0,21.0,3.0,65.0,5.0,0.0,28.0,25.0,3.38
10,nan,通　算,189.0,57.0,54.0,0.0,11.0,13.0,12.0,6.0,1.0,0.514,4316.0,994.1,886.0,61.0,459.0,55.0,1011.0,56.0,2.0,455.0,377.0,3.41
