,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2005,中　日,15.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727,371.0,86.2,81.0,7.0,30.0,6.0,60.0,2.0,1.0,36.0,35.0,3.63
1,2006,中　日,20.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.636,473.0,112.2,106.0,16.0,36.0,2.0,111.0,3.0,0.0,49.0,49.0,3.91
2,2007,中　日,28.0,14.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.636,741.0,170.1,158.0,14.0,81.0,6.0,177.0,13.0,0.0,73.0,68.0,3.59
3,2008,中　日,23.0,7.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.43799999999999994,582.0,129.2,148.0,13.0,46.0,11.0,126.0,5.0,0.0,79.0,67.0,4.65
4,2009,中　日,13.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.556,342.0,81,77.0,5.0,25.0,5.0,73.0,4.0,0.0,34.0,31.0,3.44
5,2010,中　日,19.0,7.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.636,491.0,118,99.0,9.0,41.0,4.0,105.0,8.0,0.0,43.0,38.0,2.9
6,2011,中　日,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,126.0,30.1,29.0,5.0,4.0,3.0,26.0,1.0,0.0,19.0,14.0,4.15
7,2012,中　日,22.0,7.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.41200000000000003,562.0,140,119.0,6.0,33.0,9.0,106.0,3.0,0.0,46.0,44.0,2.83
8,2013,中　日,40.0,4.0,6.0,0.0,15.0,18.0,0.0,0.0,0.0,0.4,428.0,98,85.0,5.0,45.0,8.0,83.0,8.0,0.0,41.0,37.0,3.4
9,2014,福岡ソフトバンク,25.0,11.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.611,623.0,145,139.0,10.0,65.0,8.0,116.0,7.0,0.0,77.0,70.0,4.34
10,2015,福岡ソフトバンク,24.0,9.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.563,657.0,155.1,134.0,17.0,61.0,9.0,130.0,4.0,0.0,60.0,56.0,3.24
11,2016,福岡ソフトバンク,17.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,377.0,89.2,64.0,9.0,49.0,5.0,67.0,3.0,0.0,31.0,30.0,3.01
12,2017,福岡ソフトバンク,18.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5379999999999999,380.0,86.2,82.0,15.0,40.0,9.0,78.0,4.0,0.0,44.0,44.0,4.57
13,2018,福岡ソフトバンク,23.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.625,410.0,91.2,87.0,13.0,57.0,3.0,79.0,5.0,1.0,54.0,53.0,5.2
14,2019,福岡ソフトバンク,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.2,3.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.93
15,2020,阪　神,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.2,18.0,0.0,5.0,0.0,11.0,0.0,0.0,9.0,9.0,7.59
16,nan,通　算,297.0,100.0,79.0,1.0,16.0,23.0,16.0,4.0,1.0,0.5589999999999999,6636.0,1550.1,1429.0,144.0,621.0,89.0,1350.0,70.0,2.0,696.0,646.0,3.75
