,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,阪　神,7.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5710000000000001,166.0,40.1,33.0,3.0,13.0,0.0,23.0,0.0,0.0,16.0,15.0,3.35
1,2011,阪　神,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,7.1,8.0,1.0,7.0,1.0,1.0,0.0,0.0,7.0,5.0,6.14
2,2012,阪　神,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,39.0,8,15.0,3.0,2.0,0.0,6.0,0.0,0.0,8.0,8.0,9.0
3,2013,阪　神,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,44.2,46.0,6.0,12.0,0.0,36.0,2.0,0.0,21.0,19.0,3.83
4,2014,阪　神,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.2,18.0,3.0,4.0,0.0,5.0,0.0,0.0,16.0,15.0,20.25
5,2015,阪　神,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,14.1,14.0,0.0,3.0,0.0,9.0,0.0,0.0,7.0,7.0,4.4
6,2016,阪　神,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,85.0,20,23.0,1.0,2.0,0.0,20.0,0.0,0.0,9.0,9.0,4.05
7,2017,阪　神,25.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.667,638.0,159.1,158.0,15.0,16.0,6.0,123.0,0.0,0.0,56.0,53.0,2.99
8,2018,阪　神,17.0,5.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,0.33299999999999996,437.0,105,111.0,8.0,18.0,4.0,89.0,2.0,0.0,46.0,45.0,3.86
9,2019,阪　神,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,219.0,50.2,56.0,5.0,12.0,1.0,35.0,2.0,0.0,27.0,24.0,4.26
10,2020,阪　神,18.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.7859999999999999,435.0,112,97.0,17.0,12.0,0.0,64.0,2.0,0.0,45.0,36.0,2.89
11,2021,阪　神,24.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.588,539.0,132.2,121.0,18.0,25.0,3.0,107.0,2.0,0.0,43.0,40.0,2.71
12,nan,通　算,127.0,48.0,40.0,0.0,0.0,0.0,8.0,2.0,4.0,0.545,2884.0,701,700.0,80.0,126.0,15.0,518.0,10.0,0.0,301.0,276.0,3.54
