,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,阪　神,124,183,161,32,41,12,2,1,60,10,5,1,13,0,9,0,32,2,0.255,0.373,0.294
1,2011,阪　神,108,205,190,20,46,6,2,1,59,9,5,3,6,0,9,0,28,2,0.242,0.311,0.276
2,2012,阪　神,82,74,65,10,12,0,0,0,12,4,1,1,6,1,2,0,14,1,0.185,0.185,0.20600000000000002
3,2013,阪　神,119,216,192,30,56,7,2,0,67,9,8,5,16,0,8,0,19,2,0.292,0.349,0.32
4,2014,阪　神,87,119,102,13,21,4,0,1,28,6,2,1,6,0,10,1,12,3,0.20600000000000002,0.275,0.28300000000000003
5,2015,阪　神,112,126,102,21,25,5,0,0,30,2,3,3,13,0,9,2,20,2,0.245,0.294,0.319
6,2016,阪　神,41,56,43,4,8,2,0,0,10,2,2,1,3,1,9,0,12,1,0.18600000000000003,0.233,0.321
7,2017,阪　神,74,202,191,26,59,15,1,4,88,23,1,0,2,0,9,0,33,1,0.309,0.461,0.34
8,2018,阪　神,87,200,183,25,41,5,1,2,54,21,1,0,6,0,11,0,29,4,0.22399999999999998,0.295,0.268
9,2019,阪　神,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
10,2020,阪　神,9,8,8,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0.125,0.125,0.125
11,nan,通　算,849,1395,1243,181,310,56,8,9,409,86,28,16,71,2,76,3,202,18,0.249,0.32899999999999996,0.294
