,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2006,阪　神,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,2.0,1.0,4.0,0.0,1.0,2.0,0.0,4.0,3.0,9.0
1,2007,阪　神,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,13.1,15.0,0.0,8.0,2.0,6.0,2.0,0.0,9.0,8.0,5.4
2,2008,阪　神,27.0,10.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,678.0,159.1,168.0,5.0,50.0,11.0,101.0,7.0,0.0,64.0,58.0,3.28
3,2009,阪　神,16.0,7.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.583,455.0,110.2,99.0,3.0,27.0,8.0,103.0,4.0,0.0,40.0,33.0,2.68
4,2011,阪　神,25.0,9.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,0.409,673.0,169,121.0,7.0,45.0,8.0,133.0,6.0,0.0,47.0,43.0,2.29
5,2012,阪　神,25.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,648.0,153.1,157.0,10.0,41.0,2.0,107.0,6.0,0.0,73.0,60.0,3.52
6,2013,阪　神,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,189.0,43.2,43.0,3.0,16.0,1.0,25.0,1.0,0.0,26.0,24.0,4.95
7,2014,阪　神,22.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.529,601.0,148.2,123.0,13.0,43.0,2.0,116.0,6.0,0.0,50.0,42.0,2.54
8,2015,阪　神,27.0,8.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.444,722.0,170.1,168.0,13.0,49.0,5.0,119.0,8.0,0.0,66.0,61.0,3.22
9,2016,阪　神,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,20.1,36.0,4.0,10.0,2.0,14.0,3.0,0.0,23.0,20.0,8.85
10,2017,阪　神,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,233.0,53,55.0,4.0,22.0,2.0,39.0,4.0,2.0,26.0,25.0,4.25
11,2018,阪　神,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,30.2,25.0,4.0,9.0,3.0,29.0,2.0,0.0,13.0,11.0,3.23
12,2019,阪　神,14.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.429,336.0,77.2,90.0,13.0,21.0,3.0,43.0,2.0,0.0,46.0,39.0,4.52
13,2020,阪　神,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,107.0,22.2,26.0,1.0,15.0,2.0,15.0,0.0,0.0,16.0,16.0,6.35
14,2021,阪　神,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
15,nan,通　算,200.0,60.0,82.0,0.0,0.0,0.0,12.0,5.0,2.0,0.423,4969.0,1178.2,1131.0,81.0,360.0,52.0,854.0,54.0,2.0,503.0,443.0,3.38
