,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,阪　神,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,127.0,29.1,24.0,2.0,15.0,0.0,21.0,0.0,0.0,18.0,15.0,4.6
1,2015,阪　神,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,95.0,20.2,24.0,2.0,11.0,2.0,11.0,3.0,0.0,12.0,10.0,4.35
2,2016,阪　神,25.0,10.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.526,644.0,158.1,119.0,10.0,55.0,3.0,156.0,6.0,0.0,56.0,51.0,2.9
3,2017,阪　神,18.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,428.0,98,93.0,14.0,44.0,4.0,93.0,3.0,0.0,56.0,54.0,4.96
4,2018,阪　神,23.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41200000000000003,554.0,132,128.0,18.0,32.0,1.0,122.0,1.0,0.0,56.0,51.0,3.48
5,2019,阪　神,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,173.0,40.1,43.0,4.0,15.0,0.0,33.0,0.0,0.0,19.0,18.0,4.02
6,2020,阪　神,38.0,7.0,3.0,0.0,8.0,13.0,0.0,0.0,0.0,0.7,298.0,71,67.0,7.0,23.0,0.0,63.0,3.0,0.0,32.0,26.0,3.3
7,2021,阪　神,46.0,4.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,1.0,174.0,38.2,42.0,4.0,14.0,3.0,33.0,1.0,0.0,21.0,20.0,4.66
8,2022,阪　神,53.0,2.0,1.0,0.0,11.0,13.0,0.0,0.0,0.0,0.667,176.0,42,34.0,1.0,12.0,2.0,38.0,1.0,0.0,16.0,12.0,2.57
9,nan,通　算,222.0,39.0,42.0,0.0,31.0,42.0,3.0,2.0,0.0,0.48100000000000004,2669.0,630.1,574.0,62.0,221.0,15.0,570.0,18.0,0.0,286.0,257.0,3.67
