,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,北海道日本ハム,7,11,11,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.091,0.091,0.091
1,2008,北海道日本ハム,63,205,188,19,45,14,1,5,76,21,13,3,5,0,10,2,53,6,0.239,0.40399999999999997,0.285
2,2009,北海道日本ハム,131,496,425,74,130,40,3,15,221,58,24,6,18,1,46,6,93,6,0.306,0.52,0.381
3,2010,北海道日本ハム,138,583,488,86,151,33,3,15,235,64,26,8,13,1,71,10,94,7,0.309,0.48200000000000004,0.40700000000000003
4,2011,北海道日本ハム,137,578,489,72,156,30,0,11,219,54,31,6,9,2,59,19,91,5,0.319,0.44799999999999995,0.41100000000000003
5,2012,北海道日本ハム,134,597,510,72,155,21,3,9,209,48,22,9,0,1,75,11,86,9,0.304,0.41,0.40399999999999997
6,2013,オリックス,141,601,524,75,157,33,2,17,245,61,33,9,0,3,66,8,93,6,0.3,0.46799999999999997,0.384
7,2014,オリックス,140,590,502,73,166,36,2,19,263,81,31,9,0,4,70,14,73,7,0.331,0.524,0.424
8,2015,オリックス,132,565,484,61,127,22,0,17,200,68,11,4,0,1,72,8,78,10,0.262,0.413,0.366
9,2016,オリックス,143,616,532,79,163,24,1,17,240,70,53,17,0,2,75,7,84,13,0.306,0.451,0.39799999999999996
10,2017,阪　神,114,493,427,60,124,16,0,17,191,62,21,6,0,2,59,5,62,12,0.29,0.447,0.381
11,2018,阪　神,119,509,419,60,129,24,0,16,201,68,22,3,0,5,77,8,63,9,0.308,0.48,0.42
12,2019,阪　神,103,444,382,45,120,22,1,5,159,42,9,5,0,3,52,7,63,10,0.314,0.41600000000000004,0.40299999999999997
13,2020,阪　神,86,311,269,25,72,16,1,2,96,28,2,1,0,1,38,3,50,5,0.268,0.35700000000000004,0.363
14,2021,阪　神,77,119,106,8,22,5,0,3,36,18,1,0,0,3,9,1,37,4,0.20800000000000002,0.34,0.26899999999999996
15,nan,通　算,1665,6718,5756,810,1718,336,17,168,2592,743,300,86,45,29,779,109,1021,109,0.298,0.45,0.391
