年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,牛島　和彦,3,146,69,70,7,.496,17.0,.265,143,3.68
2006,牛島　和彦,6,146,58,84,4,.408,29.5,.257,127,4.25
2007,大矢　明彦,4,144,71,72,1,.497,9.0,.265,124,4.01
2008,大矢　明彦,6,144,48,94,2,.338,36.5,.266,145,4.74
2009,大矢　明彦,6,144,51,93,0,.354,42.5,.239,128,4.36
2010,尾花　高夫,6,144,48,95,1,.336,32.0,.255,117,4.88
2011,尾花　高夫,6,144,47,86,11,.353,27.5,.239,78,3.87
2012,中畑　清,6,144,46,85,13,.351,41.0,.233,66,3.76
2013,中畑　清,5,144,64,79,1,.448,23.0,.262,132,4.50
2014,中畑　清,5,144,67,75,2,.472,14.5,.253,121,3.76
2015,中畑　清,6,143,62,80,1,.437,14.5,.249,112,3.80
2016,Ａ．ラミレス,3,143,69,71,3,.493,19.5,.249,140,3.76
2017,Ａ．ラミレス,3,143,73,65,5,.529,14.5,.252,134,3.81
2018,Ａ．ラミレス,4,143,67,74,2,.475,15.0,.250,181,4.18
2019,Ａ．ラミレス,2,143,71,69,3,.507,5.5,.246,163,3.93
2020,Ａ．ラミレス,4,120,56,58,6,.491,12.0,.266,135,3.76
