年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,Ｔ．ヒルマン,5,136,62,71,3,.466,,.254,165,3.98
2006,Ｔ．ヒルマン,1,136,82,54,0,.603,,.269,135,3.05
2007,Ｔ．ヒルマン,1,144,79,60,5,.568,---,.259,73,3.22
2008,梨田　昌孝,3,144,73,69,2,.514,4.0,.255,82,3.54
2009,梨田　昌孝,1,144,82,60,2,.577,---,.278,112,3.65
2010,梨田　昌孝,4,144,74,67,3,.525,3.0,.274,91,3.52
2011,梨田　昌孝,2,144,72,65,7,.526,17.5,.251,86,2.68
2012,栗山　英樹,1,144,74,59,11,.556,---,.256,90,2.89
2013,栗山　英樹,6,144,64,78,2,.451,18.5,.256,105,3.74
2014,栗山　英樹,3,144,73,68,3,.518,6.5,.251,119,3.61
2015,栗山　英樹,2,143,79,62,2,.560,12.0,.258,106,3.62
2016,栗山　英樹,1,143,87,53,3,.621,---,.266,121,3.06
2017,栗山　英樹,5,143,60,83,0,.420,34.0,.242,108,3.82
2018,栗山　英樹,3,143,74,66,3,.529,13.5,.251,140,3.77
2019,栗山　英樹,5,143,65,73,5,.471,13.0,.251,93,3.76
2020,栗山　英樹,5,120,53,62,5,.461,20.0,.249,89,4.02
