年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,堀内　恒夫,5,146,62,80,4,.437,25.5,.260,186,4.80
2006,原　辰徳,4,146,65,79,2,.451,23.5,.251,134,3.65
2007,原　辰徳,1,144,80,63,1,.559,---,.276,191,3.58
2008,原　辰徳,1,144,84,57,3,.596,---,.266,177,3.37
2009,原　辰徳,1,144,89,46,9,.659,---,.275,182,2.94
2010,原　辰徳,3,144,79,64,1,.552,1.0,.266,226,3.89
2011,原　辰徳,3,144,71,62,11,.534,3.5,.243,108,2.61
2012,原　辰徳,1,144,86,43,15,.667,---,.256,94,2.16
2013,原　辰徳,1,144,84,53,7,.613,---,.262,145,3.21
2014,原　辰徳,1,144,82,61,1,.573,---,.257,144,3.58
2015,原　辰徳,2,143,75,67,1,.528,1.5,.243,98,2.78
2016,高橋　由伸,2,143,71,69,3,.507,17.5,.251,128,3.45
2017,高橋　由伸,4,143,72,68,3,.514,16.5,.249,113,3.31
2018,高橋　由伸,3,143,67,71,5,.486,13.5,.257,152,3.79
2019,原　辰徳,1,143,77,64,2,.546,---,.257,183,3.77
2020,原　辰徳,1,120,67,45,8,.598,---,.255,135,3.34
