年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,伊東　勤,3,136,67,69,0,.493,,.269,162,4.27
2006,伊東　勤,2,136,80,54,2,.597,,.275,131,3.64
2007,伊東　勤,5,144,66,76,2,.465,14.5,.264,126,3.82
2008,渡辺　久信,1,144,76,64,4,.543,---,.270,198,3.86
2009,渡辺　久信,4,144,70,70,4,.500,11.0,.261,163,4.01
2010,渡辺　久信,2,144,78,65,1,.545,0.0,.271,150,4.19
2011,渡辺　久信,3,144,68,67,9,.504,20.5,.253,103,3.15
2012,渡辺　久信,2,144,72,63,9,.533,3.0,.251,78,3.24
2013,渡辺　久信,2,144,74,66,4,.529,7.5,.257,86,3.54
2014,伊原　春樹,5,144,63,77,4,.450,16.0,.248,125,3.77
2015,田邊　徳雄,4,143,69,69,5,.500,20.5,.263,136,3.69
2016,田邊　徳雄,4,143,64,76,3,.457,23.0,.264,128,3.85
2017,辻　発彦,2,143,79,61,3,.564,13.5,.264,153,3.53
2018,辻　発彦,1,143,88,53,2,.624,---,.273,196,4.24
2019,辻　発彦,1,143,80,62,1,.563,---,.265,174,4.35
2020,辻　発彦,3,120,58,58,4,.500,15.5,.238,107,4.28
