年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,若松　勉,4,146,71,73,2,.493,17.5,.276,128,4.00
2006,古田　敦也,3,146,70,73,3,.490,18.0,.269,161,3.91
2007,古田　敦也,6,144,60,84,0,.417,20.5,.269,139,4.07
2008,高田　繁,5,144,66,74,4,.471,17.5,.266,83,3.75
2009,高田　繁,3,144,71,72,1,.497,22.0,.259,116,3.97
2010,高田　繁,4,144,72,68,4,.514,6.5,.268,124,3.85
2011,小川　淳司,2,144,70,59,15,.543,2.5,.244,85,3.36
2012,小川　淳司,3,144,68,65,11,.511,20.0,.260,90,3.35
2013,小川　淳司,6,144,57,83,4,.407,28.5,.253,134,4.26
2014,小川　淳司,6,144,60,81,3,.426,21.0,.279,139,4.62
2015,真中　満,1,143,76,65,2,.539,---,.257,107,3.31
2016,真中　満,5,143,64,78,1,.451,25.5,.256,113,4.73
2017,真中　満,6,143,45,96,2,.319,44.0,.234,95,4.21
2018,小川　淳司,2,143,75,66,2,.532,7.0,.266,135,4.13
2019,小川　淳司,6,143,59,82,2,.418,18.0,.244,167,4.78
2020,高津　臣吾,6,120,41,69,10,.373,25.0,.242,114,4.61
