年度,監督,順位,試合,勝利,敗北,引分,勝率,差,打率,本塁打,防御率
2005,岡田　彰布,1,146,87,54,5,.617,---,.274,140,3.24
2006,岡田　彰布,2,146,84,58,4,.592,3.5,.267,133,3.13
2007,岡田　彰布,3,144,74,66,4,.529,4.5,.255,111,3.56
2008,岡田　彰布,2,144,82,59,3,.582,2.0,.268,83,3.29
2009,真弓　明信,4,144,67,73,4,.479,24.5,.255,106,3.28
2010,真弓　明信,2,144,78,63,3,.553,1.0,.290,173,4.05
2011,真弓　明信,4,144,68,70,6,.493,9.0,.255,80,2.83
2012,和田　豊,5,144,55,75,14,.423,31.5,.236,58,2.65
2013,和田　豊,2,144,73,67,4,.521,12.5,.255,82,3.07
2014,和田　豊,2,144,75,68,1,.524,7.0,.264,94,3.88
2015,和田　豊,3,143,70,71,2,.496,6.0,.247,78,3.47
2016,金本　知憲,4,143,64,76,3,.457,24.5,.245,90,3.38
2017,金本　知憲,2,143,78,61,4,.561,10.0,.249,113,3.29
2018,金本　知憲,6,143,62,79,2,.440,20.0,.253,85,4.03
2019,矢野　燿大,3,143,69,68,6,.504,6.0,.251,94,3.46
2020,矢野　燿大,2,120,60,53,7,.531,7.5,.246,110,3.35
